Nome;Domicilios;Populacao;RendaTotal;RendaMediaFamiliar;RendaPerCapita;MatriculasEscolares;Empregos;ViagensDeBicicleta
Belenzinho;7268;22051;27707413;3718;1257;7724;24408;198
Mooca;10102;27958;54218691;5367;1939;37812;23692;700
Alto da Mooca;6583;18350;34154471;5188;1861;4064;18042;433
Parque da Mooca;11979;33271;59888652;4999;1800;5703;33482;1780
Tatuapé;6493;17440;31144803;4797;1786;8719;37493;660
Ipiranga;4707;12057;30379988;6454;2520;5439;10921;59
