Zona ;Nome;Domicilios;Familias;Populacao;RendaTotal;RendaMediaFamiliar;RendaPerCapita;RendaMedianaFamiliar;MatriculasEscolares;Empregos;AutomoveisParticulares;Area;ViagensDeBicicleta
303;Vila Miranda;3681;3681;10325;17215679;4677;1667;4000;50942;28697;2825;271;265
304;Jardim São Luís;26276;26276;78638;77522070;2950;986;2884;23331;34830;14886;408;848
315;Parque Fernanda;39699;39864;122442;106404053;2669;869;2453;21275;31102;14758;512;269
316;Morumbi;5711;5711;15560;47603305;8335;3059;6843;5527;13918;7732;271;1111
317;Jóquei Clube;1306;1328;4306;17814976;13415;4137;10900;1077;7718;2234;333;40
319;Real Parque;3036;3036;9015;28990363;9549;3216;6143;5351;20404;3690;223;158
320;Paraisópolis;24784;24784;73861;84015796;3390;1137;1976;12444;12102;7876;362;181
321;Jardim Vitória Régia;15862;15862;42795;177604346;11197;4150;10541;8125;23345;24226;370;643
322;Vila Suzana;14938;14938;39440;92458026;6189;2344;5514;8490;20775;17032;301;845
329;Vila Sônia;11903;11903;34406;76470558;6424;2223;5000;8788;21336;10781;348;991
331;Jardim Cambará;13529;13529;42177;61667315;4558;1462;3213;7814;13167;8961;480;617
332;Jardim João XXIII;13702;13883;43732;44323733;3193;1014;2589;13015;13304;9738;468;617
334;Rio Pequeno;12117;12117;36683;39698969;3276;1082;2500;8249;15381;5576;246;24
335;Jardim Ester Yolanda;13398;13398;40378;62682374;4678;1552;3580;7018;10114;9799;265;507
336;Jardim Adalgiza;14943;14943;45585;53820888;3602;1181;2733;4163;10317;10310;467;191
337;Parque Continental;8657;8657;22537;45592587;5267;2023;3988;6371;15255;7465;226;191
338;Jaguaré;10529;10529;31544;38847835;3690;1232;2600;6387;21707;5196;430;3103
340;Butantã;2847;3066;7738;27423547;8945;3544;6000;1836;13603;3096;207;656
341;Jardim Caxingui;3866;3866;10541;26052672;6739;2472;6710;3726;8790;3064;180;251
342;Jardim Bonfiglioli;12797;12797;35707;73464631;5741;2057;5500;5298;14867;10932;320;47
;;;;;;;;;;;   ; ;
